Comment,Designator,Footprint,LCSC
"30p","C2,C3","Capacitor_SMD:C_0402_1005Metric","C1570"
"1u","C1,C4,C8,C10","Capacitor_SMD:C_0402_1005Metric","C52923"
"100n","C5,C6,C7,C9,C11,C12,C13,C14,C15,C16","Capacitor_SMD:C_0402_1005Metric","C1525"
"10k","R2","Resistor_SMD:R_0402_1005Metric","C25744"
"27","R3,R4","Resistor_SMD:R_0402_1005Metric","C138021"
"1k","R1,R5","Resistor_SMD:R_0402_1005Metric","C11702"
"5.1k","R6,R7","Resistor_SMD:R_0402_1005Metric","C25905"
"SW_Push","SW1,SW2,SW3,SW4,SW5,SW6","Button_Switch_THT:SW_PUSH_6mm_H5mm",""
"SW_Push","SW19,SW20","Button_Switch_SMD:SW_SPST_Omron_B3FS-100xP","C271750"
"SW_Push","SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18","Kailh:Kailh_socket_PG1350_optional",""
"TLV73333PDBV","U1","Package_TO_SOT_SMD:SOT-23-5","C134139"
"W25Q128JVS","U2","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"RP2040","U3","RP2040:RP2040-QFN-56","C2040"
"HRO-TYPE-C-31-M-12","USB1","Type-C:HRO-TYPE-C-31-M-12-Assembly","C165948"
"Crystal_GND24","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C9002"
